# SPECTRUM - DATA AND BEST FITTING MODEL.
# FOR PLOTTING
#
# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
# MODEL IS: lte017-5.0-0.0a+0.0.BT-Settl.spec.7
# VSINI IS: 84.000000
# RV IS: 44.000000
# DATA divided by factor -- factor: 0.98804181
# reduced chi square is:        1.2161050
#
# wavelength (um),    data flux,      uncertainty,     model flux
       2.2813061       1.2017897     0.053459842       1.1810101
       2.2813677       1.1946242     0.034300048       1.1914540
       2.2814294       1.1857257     0.033239504       1.2023634
       2.2814910       1.2222757     0.035141602       1.2125811
       2.2815526       1.2738940     0.045721197       1.2250245
       2.2816142       1.2745780     0.045266096       1.2406792
       2.2816758       1.2594375     0.037917730       1.2604560
       2.2817375       1.2646344     0.029537566       1.2822299
       2.2817991       1.2728065     0.041968109       1.2992986
       2.2818607       1.2879320     0.035934067       1.3101543
       2.2819223       1.3018652     0.030458912       1.3159485
       2.2819840       1.2716731     0.037396361       1.3152271
       2.2820456       1.2477120     0.039492953       1.3121730
       2.2821072       1.2647155     0.036612915       1.3102317
       2.2821688       1.2739224     0.041259570       1.3092428
       2.2822304       1.2650535     0.046090960       1.3087029
       2.2822921       1.2637260     0.034389876       1.3071469
       2.2823537       1.2716836     0.033779788       1.3061612
       2.2824153       1.2782550     0.033430632       1.3052698
       2.2824769       1.2469551     0.029499075       1.3043826
       2.2825386       1.2495685     0.026767350       1.3049350
       2.2826002       1.2648177     0.031409703       1.3060978
       2.2826618       1.2496831     0.041202151       1.3074805
       2.2827234       1.2663318     0.042568623       1.3094178
       2.2827850       1.2827227     0.073603972       1.3100986
       2.2828467       1.2871884     0.065266934       1.3092390
       2.2829083       1.2763090     0.048032595       1.3058441
       2.2829699       1.2142130     0.064885688       1.2993285
       2.2830315       1.1866139     0.061486207       1.2933223
       2.2830932       1.2621585     0.077283784       1.2870303
       2.2831548       1.2169112     0.065419918       1.2828944
       2.2832164       1.1382091     0.060544660       1.2810846
       2.2832780       1.1589726     0.031377309       1.2801272
       2.2833396       1.1691631     0.048817149       1.2773284
       2.2834013       1.1980778     0.056813614       1.2752927
       2.2834629       1.1848173     0.072745765       1.2743619
       2.2835245       1.1649610     0.068429675       1.2728380
       2.2835861       1.1775559     0.049138859       1.2690636
       2.2836478       1.1621529     0.040510239       1.2618591
       2.2837094       1.2043217     0.024640064       1.2555778
       2.2837710       1.1536077     0.044012858       1.2477329
       2.2838326       1.1590481     0.052180253       1.2415944
       2.2838942       1.2098737     0.044633700       1.2384223
       2.2839559       1.1928098     0.023340321       1.2367790
       2.2840175       1.2032857     0.060330102       1.2360910
       2.2840791       1.2736524     0.060117968       1.2372834
       2.2841407       1.2489945     0.056512316       1.2379211
       2.2842024       1.1296641     0.082035175       1.2320315
       2.2842640       1.1062742     0.068646068       1.2168270
       2.2843256       1.1705296     0.059131606       1.2002416
       2.2843872       1.1347035     0.055595071       1.1857294
       2.2844488       1.1392019     0.055803378       1.1728869
       2.2845105       1.1552094     0.073504294       1.1621118
       2.2845721       1.1385096     0.051680613       1.1545096
       2.2846337       1.0999627     0.020801224       1.1510838
       2.2846953       1.1064889     0.040405631       1.1516178
       2.2847570       1.1254637     0.040080369       1.1564245
       2.2848186       1.1333713     0.028555701       1.1652474
       2.2848802       1.1598714     0.097502044       1.1776832
       2.2849418       1.1831895     0.088330033       1.1885580
       2.2850034       1.1425115     0.036611476       1.1989176
       2.2850651       1.1963874     0.062854948       1.2078246
       2.2851267       1.1911631     0.038666724       1.2171279
       2.2851883       1.2170757     0.043552038       1.2284788
       2.2852499       1.2182884     0.057887902       1.2416343
       2.2853116       1.2335807     0.057949651       1.2558215
       2.2853732       1.3203204     0.068258584       1.2694965
       2.2854348       1.3187304     0.060247138       1.2827602
       2.2854964       1.3288758     0.059337197       1.2960736
       2.2855580       1.2419185     0.063892714       1.3010685
       2.2856197       1.1955431     0.059036504       1.2965752
       2.2856813       1.2677017     0.059134967       1.2915747
       2.2857429       1.2739752     0.052572631       1.2868929
       2.2858045       1.3099006     0.062213624       1.2822215
       2.2858662       1.3142284     0.050986733       1.2768808
       2.2859278       1.2991819     0.062746530       1.2710449
       2.2859894       1.2769784     0.060149629       1.2670208
       2.2860510       1.2888692     0.084628460       1.2640670
       2.2861126       1.3267625      0.10029041       1.2630500
       2.2861743       1.3574680     0.066271788       1.2638790
       2.2862359       1.3437253     0.057623903       1.2667080
       2.2862975       1.3086830     0.074161552       1.2705390
       2.2863591       1.3287389     0.081128104       1.2752643
       2.2864208       1.3118332      0.11620812       1.2811491
       2.2864824       1.3280599     0.077382899       1.2875238
       2.2865440       1.3475528     0.092723363       1.2937340
       2.2866056       1.3361350     0.094644755       1.2993575
       2.2866672       1.3158532     0.092686260       1.3015532
       2.2867289       1.3376592     0.098087073       1.2997317
       2.2867905       1.3376598      0.12452487       1.2976150
       2.2868521       1.3413658      0.13284757       1.2965225
       2.2869137       1.3387425     0.099168052       1.2939612
       2.2869754       1.3156266      0.10891858       1.2910879
       2.2870370       1.3325902      0.12494858       1.2885375
       2.2870986       1.3504540      0.14409095       1.2822931
       2.2871602       1.3364684      0.16207927       1.2739607
       2.2872218       1.3163396      0.12228293       1.2661926
       2.2872835       1.3426645      0.11575697       1.2597882
       2.2873451       1.3416210      0.12499884       1.2547097
       2.2874067       1.3136444      0.10652776       1.2501441
       2.2874683       1.2881089      0.19222717       1.2458645
       2.2875300       1.2611729      0.19832548       1.2438838
       2.2875916       1.2360797      0.19222717       1.2438872
       2.2876532       1.2114826     0.071720666       1.2459886
       2.2877148       1.3332778      0.16479557       1.2496615
       2.2877764       1.3735908      0.13182700       1.2564519
       2.2878381       1.3358504      0.12333523       1.2642385
       2.2878997       1.3331950      0.10101029       1.2747112
       2.2879613       1.3394470     0.089432466       1.2840489
       2.2880229       1.3451924      0.10531348       1.2899276
       2.2880846       1.3343093      0.12897991       1.2952748
       2.2881462       1.3574081      0.10608213       1.3004248
       2.2882078       1.3525301     0.095891267       1.3047257
       2.2882694       1.3513320      0.10344614       1.3069907
       2.2883310       1.3131811     0.099339276       1.3102260
       2.2883927       1.3801864     0.089431844       1.3130844
       2.2884543       1.3682928     0.054623807       1.3102617
       2.2885159       1.3606289     0.068916324       1.3071378
       2.2885775       1.3585500      0.12354801       1.3043381
       2.2886392       1.3580374      0.10571209       1.3029133
       2.2887008       1.3493562      0.10575788       1.3010060
       2.2887624       1.3417691      0.10771681       1.2953352
       2.2888240       1.3438589     0.095971298       1.2892189
       2.2888856       1.3334486     0.075556608       1.2836551
       2.2889473       1.3184555     0.069848543       1.2791265
       2.2890089       1.3156967     0.082499014       1.2745875
       2.2890705       1.2847206     0.059826685       1.2705666
       2.2891321       1.2877222     0.086540937       1.2670397
       2.2891938       1.2663498     0.058906599       1.2630277
