# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting1/config1.txt
#     2MASS0817
#     ~/ModelFittingTools/ExampleFitting1/sampledata1/
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     2M0817_Hband_order2_correct_uncert_best3_epochs.txt
#     IGRINS
#     SONORA-BOBCAT
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     ~/ModelFittingTools/ExampleFitting1/SonoraBobcatModelNames.txt
#     m100
#     1.779,1.798
#     1.779,1.798
#     0
#     ~/ModelFittingTools/ExampleFitting1/
#     Sept10_2022
#     21
#     23
#     0.5
#     8
#     11
#     0.5
#     0.6
#     0.01405
#     35
#     ~/ModelFittingTools/ExampleFitting1/samplemodels1/
#     Quadratic
#     -7.0
#     1
#
# TELLURIC LINE MASK APPLIED, <35% TRANSMISSION (from PSG) AND OH EMISSION LINES
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       a        b       c
sp_t1200g100nc_m0.0   1200    100    0           90314.540       1412.0000       63.962139       21.000000         9.0000000       -2009.1268       7187.6860      -6427.4896
sp_t1200g100nc_m0.0   1200    100    0           88796.016       1412.0000       62.886697       21.000000         9.5000000       -2004.2702       7170.3884      -6412.0869
sp_t1200g100nc_m0.0   1200    100    0           87536.920       1412.0000       61.994986       21.000000         10.000000       -1997.4468       7146.0601      -6390.4011
sp_t1200g100nc_m0.0   1200    100    0           86519.959       1412.0000       61.274758       21.000000         10.500000       -1990.9308       7122.8271      -6369.6910
sp_t1200g100nc_m0.0   1200    100    0           85737.174       1412.0000       60.720378       21.000000         11.000000       -1986.6513       7107.5996      -6356.1447
sp_t1200g100nc_m0.0   1200    100    0           93129.530       1412.0000       65.955758       21.500000         8.0000000       -2014.8432       7208.0460      -6445.6188
sp_t1200g100nc_m0.0   1200    100    0           91155.449       1412.0000       64.557684       21.500000         8.5000000       -2008.9671       7187.0895      -6426.9331
sp_t1200g100nc_m0.0   1200    100    0           89407.220       1412.0000       63.319561       21.500000         9.0000000       -2003.5554       7167.7942      -6409.7331
sp_t1200g100nc_m0.0   1200    100    0           87929.500       1412.0000       62.273017       21.500000         9.5000000       -1997.7948       7147.2621      -6391.4370
sp_t1200g100nc_m0.0   1200    100    0           86701.065       1412.0000       61.403021       21.500000         10.000000       -1990.9565       7122.8782      -6369.6995
sp_t1200g100nc_m0.0   1200    100    0           85701.039       1412.0000       60.694787       21.500000         10.500000       -1984.0363       7098.1967      -6347.6921
sp_t1200g100nc_m0.0   1200    100    0           84940.875       1412.0000       60.156427       21.500000         11.000000       -1978.2233       7077.4808      -6329.2349
sp_t1200g100nc_m0.0   1200    100    0           92008.424       1412.0000       65.161774       22.000000         8.0000000       -2009.5909       7189.3159      -6428.9185
sp_t1200g100nc_m0.0   1200    100    0           90084.208       1412.0000       63.799014       22.000000         8.5000000       -2003.1532       7166.3490      -6408.4336
sp_t1200g100nc_m0.0   1200    100    0           88400.993       1412.0000       62.606935       22.000000         9.0000000       -1995.9392       7140.6072      -6385.4694
sp_t1200g100nc_m0.0   1200    100    0           86957.224       1412.0000       61.584436       22.000000         9.5000000       -1989.6026       7118.0092      -6365.3210
sp_t1200g100nc_m0.0   1200    100    0           85752.809       1412.0000       60.731451       22.000000         10.000000       -1983.3085       7095.5678      -6345.3170
sp_t1200g100nc_m0.0   1200    100    0           84786.708       1412.0000       60.047244       22.000000         10.500000       -1977.0918       7073.4026      -6325.5595
sp_t1200g100nc_m0.0   1200    100    0           84065.844       1412.0000       59.536717       22.000000         11.000000       -1969.0495       7044.7108      -6299.9686
sp_t1200g100nc_m0.0   1200    100    0           91842.042       1412.0000       65.043939       22.500000         8.0000000       -2006.8859       7179.6527      -6420.2880
sp_t1200g100nc_m0.0   1200    100    0           89925.903       1412.0000       63.686900       22.500000         8.5000000       -1999.7707       7154.2606      -6397.6331
sp_t1200g100nc_m0.0   1200    100    0           88241.813       1412.0000       62.494201       22.500000         9.0000000       -1993.5216       7131.9676      -6377.7503
sp_t1200g100nc_m0.0   1200    100    0           86823.859       1412.0000       61.489985       22.500000         9.5000000       -1987.0244       7108.7971      -6357.0919
sp_t1200g100nc_m0.0   1200    100    0           85641.531       1412.0000       60.652642       22.500000         10.000000       -1979.8399       7083.1709      -6334.2397
sp_t1200g100nc_m0.0   1200    100    0           84680.189       1412.0000       59.971805       22.500000         10.500000       -1972.8652       7058.2915      -6312.0524
sp_t1200g100nc_m0.0   1200    100    0           83962.782       1412.0000       59.463727       22.500000         11.000000       -1965.9397       7033.5925      -6290.0304
sp_t1200g100nc_m0.0   1200    100    0           91252.250       1412.0000       64.626240       23.000000         8.0000000       -2002.4415       7163.7961      -6406.1437
sp_t1200g100nc_m0.0   1200    100    0           89375.225       1412.0000       63.296902       23.000000         8.5000000       -1995.7424       7139.8917      -6384.8185
sp_t1200g100nc_m0.0   1200    100    0           87740.149       1412.0000       62.138915       23.000000         9.0000000       -1988.2500       7113.1519      -6360.9595
sp_t1200g100nc_m0.0   1200    100    0           86348.772       1412.0000       61.153521       23.000000         9.5000000       -1980.5233       7085.5788      -6336.3599
sp_t1200g100nc_m0.0   1200    100    0           85186.867       1412.0000       60.330642       23.000000         10.000000       -1973.4338       7060.2888      -6313.8054
sp_t1200g100nc_m0.0   1200    100    0           84252.133       1412.0000       59.668650       23.000000         10.500000       -1967.1179       7037.7657      -6293.7250
sp_t1200g100nc_m0.0   1200    100    0           83564.106       1412.0000       59.181378       23.000000         11.000000       -1958.3614       7006.5159      -6265.8437
sp_t1200g1780nc_m0.0   1200    1780    0           34840.461       1412.0000       24.674548       21.000000         8.0000000       -874.53643       3130.1324      -2799.8641
sp_t1200g1780nc_m0.0   1200    1780    0           33430.780       1412.0000       23.676190       21.000000         8.5000000       -858.86989       3074.1442      -2749.8417
sp_t1200g1780nc_m0.0   1200    1780    0           32312.019       1412.0000       22.883866       21.000000         9.0000000       -843.90351       3020.6626      -2702.0630
sp_t1200g1780nc_m0.0   1200    1780    0           31483.001       1412.0000       22.296743       21.000000         9.5000000       -828.06517       2964.0661      -2651.5025
sp_t1200g1780nc_m0.0   1200    1780    0           30948.341       1412.0000       21.918089       21.000000         10.000000       -812.31062       2907.7700      -2601.2112
sp_t1200g1780nc_m0.0   1200    1780    0           30705.858       1412.0000       21.746359       21.000000         10.500000       -796.62324       2851.7150      -2551.1363
sp_t1200g1780nc_m0.0   1200    1780    0           30751.123       1412.0000       21.778416       21.000000         11.000000       -781.04739       2796.0624      -2501.4245
sp_t1200g1780nc_m0.0   1200    1780    0           34367.171       1412.0000       24.339356       21.500000         8.0000000       -866.76194       3102.3518      -2775.0457
sp_t1200g1780nc_m0.0   1200    1780    0           32971.560       1412.0000       23.350963       21.500000         8.5000000       -851.05618       3046.2230      -2724.8974
sp_t1200g1780nc_m0.0   1200    1780    0           31862.676       1412.0000       22.565634       21.500000         9.0000000       -835.54024       2990.7747      -2675.3590
sp_t1200g1780nc_m0.0   1200    1780    0           31039.327       1412.0000       21.982526       21.500000         9.5000000       -819.69002       2934.1352      -2624.7597
sp_t1200g1780nc_m0.0   1200    1780    0           30505.887       1412.0000       21.604736       21.500000         10.000000       -803.75399       2877.1896      -2573.8873
sp_t1200g1780nc_m0.0   1200    1780    0           30261.635       1412.0000       21.431753       21.500000         10.500000       -788.06395       2821.1246      -2523.8031
sp_t1200g1780nc_m0.0   1200    1780    0           30301.453       1412.0000       21.459953       21.500000         11.000000       -772.29447       2764.7785      -2473.4703
sp_t1200g1780nc_m0.0   1200    1780    0           33899.809       1412.0000       24.008363       22.000000         8.0000000       -855.26189       3061.2569      -2738.3314
sp_t1200g1780nc_m0.0   1200    1780    0           32523.559       1412.0000       23.033682       22.000000         8.5000000       -839.66503       3005.5177      -2688.5315
sp_t1200g1780nc_m0.0   1200    1780    0           31429.625       1412.0000       22.258941       22.000000         9.0000000       -824.08712       2949.8480      -2638.7954
sp_t1200g1780nc_m0.0   1200    1780    0           30614.967       1412.0000       21.681988       22.000000         9.5000000       -807.79406       2891.6223      -2586.7758
sp_t1200g1780nc_m0.0   1200    1780    0           30083.600       1412.0000       21.305666       22.000000         10.000000       -791.87530       2834.7377      -2535.9573
sp_t1200g1780nc_m0.0   1200    1780    0           29834.543       1412.0000       21.129280       22.000000         10.500000       -776.08301       2778.3070      -2485.5460
sp_t1200g1780nc_m0.0   1200    1780    0           29864.252       1412.0000       21.150320       22.000000         11.000000       -760.30819       2721.9411      -2435.1950
sp_t1200g1780nc_m0.0   1200    1780    0           33834.890       1412.0000       23.962387       22.500000         8.0000000       -853.23384       3054.0107      -2731.8583
sp_t1200g1780nc_m0.0   1200    1780    0           32465.439       1412.0000       22.992521       22.500000         8.5000000       -837.15751       2996.5557      -2680.5235
sp_t1200g1780nc_m0.0   1200    1780    0           31376.011       1412.0000       22.220971       22.500000         9.0000000       -821.27927       2939.8103      -2629.8244
sp_t1200g1780nc_m0.0   1200    1780    0           30564.367       1412.0000       21.646152       22.500000         9.5000000       -805.23026       2882.4583      -2578.5865
sp_t1200g1780nc_m0.0   1200    1780    0           30034.798       1412.0000       21.271104       22.500000         10.000000       -789.04181       2824.6090      -2526.9054
sp_t1200g1780nc_m0.0   1200    1780    0           29787.744       1412.0000       21.096136       22.500000         10.500000       -773.18891       2767.9607      -2476.2988
sp_t1200g1780nc_m0.0   1200    1780    0           29817.898       1412.0000       21.117492       22.500000         11.000000       -756.97370       2710.0188      -2424.5378
sp_t1200g1780nc_m0.0   1200    1780    0           33666.328       1412.0000       23.843008       23.000000         8.0000000       -844.79375       3023.8497      -2704.9118
sp_t1200g1780nc_m0.0   1200    1780    0           32312.668       1412.0000       22.884326       23.000000         8.5000000       -828.57750       2965.8940      -2653.1292
sp_t1200g1780nc_m0.0   1200    1780    0           31235.439       1412.0000       22.121416       23.000000         9.0000000       -812.55455       2908.6312      -2601.9674
sp_t1200g1780nc_m0.0   1200    1780    0           30431.686       1412.0000       21.552186       23.000000         9.5000000       -795.88548       2849.0595      -2548.7431
sp_t1200g1780nc_m0.0   1200    1780    0           29905.303       1412.0000       21.179393       23.000000         10.000000       -780.31906       2793.4346      -2499.0506
sp_t1200g1780nc_m0.0   1200    1780    0           29655.969       1412.0000       21.002811       23.000000         10.500000       -764.01579       2735.1750      -2447.0030
sp_t1200g1780nc_m0.0   1200    1780    0           29679.558       1412.0000       21.019517       23.000000         11.000000       -748.01887       2678.0135      -2395.9394
sp_t1200g178nc_m0.0   1200    178    0           81472.308       1412.0000       57.699935       21.000000         8.0000000       -1858.2727       6647.9839      -5944.7818
sp_t1200g178nc_m0.0   1200    178    0           79527.844       1412.0000       56.322836       21.000000         8.5000000       -1851.0528       6622.2207      -5921.7977
sp_t1200g178nc_m0.0   1200    178    0           77818.820       1412.0000       55.112479       21.000000         9.0000000       -1845.6571       6602.9849      -5904.6529
sp_t1200g178nc_m0.0   1200    178    0           76370.341       1412.0000       54.086644       21.000000         9.5000000       -1838.3121       6576.7839      -5881.2863
sp_t1200g178nc_m0.0   1200    178    0           75184.182       1412.0000       53.246588       21.000000         10.000000       -1830.5540       6549.1094      -5856.6059
sp_t1200g178nc_m0.0   1200    178    0           74248.359       1412.0000       52.583824       21.000000         10.500000       -1823.0024       6522.1707      -5832.5809
sp_t1200g178nc_m0.0   1200    178    0           73557.271       1412.0000       52.094385       21.000000         11.000000       -1816.4010       6498.6357      -5811.6038
sp_t1200g178nc_m0.0   1200    178    0           80609.672       1412.0000       57.089003       21.500000         8.0000000       -1853.1072       6629.5480      -5928.3305
sp_t1200g178nc_m0.0   1200    178    0           78693.127       1412.0000       55.731676       21.500000         8.5000000       -1845.7131       6603.1599      -5904.7865
sp_t1200g178nc_m0.0   1200    178    0           77011.572       1412.0000       54.540773       21.500000         9.0000000       -1839.0216       6579.2864      -5883.4921
sp_t1200g178nc_m0.0   1200    178    0           75597.931       1412.0000       53.539611       21.500000         9.5000000       -1832.5128       6556.0767      -5862.8006
sp_t1200g178nc_m0.0   1200    178    0           74439.026       1412.0000       52.718857       21.500000         10.000000       -1823.9419       6525.4927      -5835.5163
sp_t1200g178nc_m0.0   1200    178    0           73521.039       1412.0000       52.068724       21.500000         10.500000       -1816.1412       6497.6607      -5810.6905
sp_t1200g178nc_m0.0   1200    178    0           72849.403       1412.0000       51.593061       21.500000         11.000000       -1808.6813       6471.0522      -5786.9626
sp_t1200g178nc_m0.0   1200    178    0           79628.181       1412.0000       56.393896       22.000000         8.0000000       -1846.4659       6605.8486      -5907.1860
sp_t1200g178nc_m0.0   1200    178    0           77757.817       1412.0000       55.069276       22.000000         8.5000000       -1839.0492       6579.3791      -5883.5684
sp_t1200g178nc_m0.0   1200    178    0           76133.084       1412.0000       53.918615       22.000000         9.0000000       -1831.0783       6550.9294      -5858.1822
sp_t1200g178nc_m0.0   1200    178    0           74752.165       1412.0000       52.940627       22.000000         9.5000000       -1823.3878       6523.4872      -5833.7009
sp_t1200g178nc_m0.0   1200    178    0           73617.624       1412.0000       52.137128       22.000000         10.000000       -1814.8645       6493.0696      -5806.5620
sp_t1200g178nc_m0.0   1200    178    0           72728.256       1412.0000       51.507263       22.000000         10.500000       -1806.8503       6464.4733      -5781.0521
sp_t1200g178nc_m0.0   1200    178    0           72088.120       1412.0000       51.053909       22.000000         11.000000       -1799.1144       6436.8767      -5756.4401
sp_t1200g178nc_m0.0   1200    178    0           79481.440       1412.0000       56.289972       22.500000         8.0000000       -1843.8081       6596.3540      -5898.7063
sp_t1200g178nc_m0.0   1200    178    0           77621.480       1412.0000       54.972719       22.500000         8.5000000       -1835.7769       6567.6850      -5873.1204
sp_t1200g178nc_m0.0   1200    178    0           75998.958       1412.0000       53.823625       22.500000         9.0000000       -1828.2904       6540.9653      -5849.2788
sp_t1200g178nc_m0.0   1200    178    0           74638.706       1412.0000       52.860274       22.500000         9.5000000       -1819.7412       6510.4528      -5822.0532
sp_t1200g178nc_m0.0   1200    178    0           73522.319       1412.0000       52.069631       22.500000         10.000000       -1811.0127       6479.3016      -5794.2585
sp_t1200g178nc_m0.0   1200    178    0           72640.314       1412.0000       51.444981       22.500000         10.500000       -1803.5186       6452.5638      -5770.4088
sp_t1200g178nc_m0.0   1200    178    0           72004.727       1412.0000       50.994849       22.500000         11.000000       -1795.1601       6422.7376      -5743.8007
sp_t1200g178nc_m0.0   1200    178    0           78984.034       1412.0000       55.937701       23.000000         8.0000000       -1838.5018       6577.4145      -5881.8047
sp_t1200g178nc_m0.0   1200    178    0           77160.278       1412.0000       54.646089       23.000000         8.5000000       -1830.1216       6547.4957      -5855.1003
sp_t1200g178nc_m0.0   1200    178    0           75580.715       1412.0000       53.527419       23.000000         9.0000000       -1822.0013       6518.5095      -5829.2323
sp_t1200g178nc_m0.0   1200    178    0           74246.278       1412.0000       52.582350       23.000000         9.5000000       -1813.2474       6487.2608      -5801.3449
sp_t1200g178nc_m0.0   1200    178    0           73150.222       1412.0000       51.806106       23.000000         10.000000       -1804.9698       6457.7199      -5774.9879
sp_t1200g178nc_m0.0   1200    178    0           72290.921       1412.0000       51.197536       23.000000         10.500000       -1796.3105       6426.8128      -5747.4086
sp_t1200g178nc_m0.0   1200    178    0           71679.023       1412.0000       50.764180       23.000000         11.000000       -1787.6772       6396.0028      -5719.9203
sp_t1200g3160nc_m0.0   1200    3160    0           31342.531       1412.0000       22.197260       21.000000         8.0000000       -464.43270       1663.5676      -1488.7418
sp_t1200g3160nc_m0.0   1200    3160    0           30121.787       1412.0000       21.332711       21.000000         8.5000000       -446.97619       1601.1773      -1432.9951
sp_t1200g3160nc_m0.0   1200    3160    0           29193.534       1412.0000       20.675308       21.000000         9.0000000       -429.89720       1540.1390      -1378.4591
sp_t1200g3160nc_m0.0   1200    3160    0           28554.554       1412.0000       20.222772       21.000000         9.5000000       -412.17400       1476.7995      -1321.8680
sp_t1200g3160nc_m0.0   1200    3160    0           28209.537       1412.0000       19.978426       21.000000         10.000000       -394.71704       1414.4127      -1266.1291
sp_t1200g3160nc_m0.0   1200    3160    0           28156.091       1412.0000       19.940574       21.000000         10.500000       -377.55192       1353.0709      -1211.3260
sp_t1200g3160nc_m0.0   1200    3160    0           28389.840       1412.0000       20.106119       21.000000         11.000000       -360.12603       1290.7993      -1155.6940
sp_t1200g3160nc_m0.0   1200    3160    0           31095.439       1412.0000       22.022266       21.500000         8.0000000       -456.44833       1635.0312      -1463.2433
sp_t1200g3160nc_m0.0   1200    3160    0           29885.227       1412.0000       21.165175       21.500000         8.5000000       -438.94201       1572.4626      -1407.3369
sp_t1200g3160nc_m0.0   1200    3160    0           28962.835       1412.0000       20.511923       21.500000         9.0000000       -421.57792       1510.4039      -1351.8878
sp_t1200g3160nc_m0.0   1200    3160    0           28325.123       1412.0000       20.060285       21.500000         9.5000000       -404.10231       1447.9497      -1296.0881
sp_t1200g3160nc_m0.0   1200    3160    0           27977.233       1412.0000       19.813904       21.500000         10.000000       -386.48801       1385.0000      -1239.8459
sp_t1200g3160nc_m0.0   1200    3160    0           27917.827       1412.0000       19.771832       21.500000         10.500000       -369.09593       1322.8461      -1184.3163
sp_t1200g3160nc_m0.0   1200    3160    0           28141.330       1412.0000       19.930121       21.500000         11.000000       -351.80864       1261.0697      -1129.1267
sp_t1200g3160nc_m0.0   1200    3160    0           30913.554       1412.0000       21.893452       22.000000         8.0000000       -445.10414       1594.4877      -1427.0167
sp_t1200g3160nc_m0.0   1200    3160    0           29717.741       1412.0000       21.046559       22.000000         8.5000000       -427.48455       1531.5138      -1370.7480
sp_t1200g3160nc_m0.0   1200    3160    0           28804.320       1412.0000       20.399660       22.000000         9.0000000       -409.81976       1468.3797      -1314.3373
sp_t1200g3160nc_m0.0   1200    3160    0           28170.267       1412.0000       19.950614       22.000000         9.5000000       -392.22728       1405.5061      -1258.1615
sp_t1200g3160nc_m0.0   1200    3160    0           27818.991       1412.0000       19.701835       22.000000         10.000000       -374.80241       1343.2337      -1202.5247
sp_t1200g3160nc_m0.0   1200    3160    0           27749.316       1412.0000       19.652490       22.000000         10.500000       -357.17147       1280.2255      -1146.2311
