# Config file was: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
# Input keywords were: /home/mtannock/ModelFittingTools/ExampleFitting2/config.txt
#     2MASS0407
#     /home/mtannock/ModelFittingTools/ExampleFitting2/sampledata2/
#     2M0407_GNIRS_baryvelcor_Nov9.dat
#     2M0407_GNIRS_error_baryvelcor_Nov9.dat
#     GNIRS
#     BTSETTL-CIFIST2011
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     /home/mtannock/ModelFittingTools/ExampleFitting2/BT-Settlmodelnames.txt
#     K
#     2.275,2.3322
#     2.31,2.32
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/
#     Sept10_2022
#     80
#     85
#     1.0
#     40
#     45
#     1.0
#     0.6
#     0.018
#     0
#     /home/mtannock/ModelFittingTools/ExampleFitting2/samplemodels2/
#     Scale
#     5
#     1
#
# NO TELLURIC LINE MASK APPLIED
#
# Filename                                  T_eff             log(g)         f_sed             chisquare       d.o.f.             reduchisquare    vsini(km/s)     rv(km/s)       scale
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1887.2213       927.00000       2.0358375       80.000000         42.000000        1.0041686
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1883.6173       927.00000       2.0319496       80.000000         43.000000        1.0040864
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1881.4762       927.00000       2.0296399       80.000000         44.000000        1.0040029
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1880.9367       927.00000       2.0290579       80.000000         45.000000        1.0039244
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1907.9084       927.00000       2.0581537       81.000000         40.000000        1.0043596
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1901.0828       927.00000       2.0507905       81.000000         41.000000        1.0042914
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1895.9124       927.00000       2.0452130       81.000000         42.000000        1.0042173
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1892.3075       927.00000       2.0413241       81.000000         43.000000        1.0041421
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1890.3127       927.00000       2.0391723       81.000000         44.000000        1.0040661
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1889.8223       927.00000       2.0386433       81.000000         45.000000        1.0039896
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1917.3814       927.00000       2.0683726       82.000000         40.000000        1.0044026
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1910.3963       927.00000       2.0608374       82.000000         41.000000        1.0043320
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1905.1425       927.00000       2.0551699       82.000000         42.000000        1.0042602
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1901.5491       927.00000       2.0512936       82.000000         43.000000        1.0041925
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1899.6719       927.00000       2.0492685       82.000000         44.000000        1.0041247
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1899.2245       927.00000       2.0487859       82.000000         45.000000        1.0040507
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1929.4414       927.00000       2.0813823       83.000000         40.000000        1.0044550
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1922.5740       927.00000       2.0739741       83.000000         41.000000        1.0043820
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1917.2569       927.00000       2.0682383       83.000000         42.000000        1.0043128
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1913.5660       927.00000       2.0642568       83.000000         43.000000        1.0042486
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1911.4902       927.00000       2.0620175       83.000000         44.000000        1.0041828
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1910.9635       927.00000       2.0614493       83.000000         45.000000        1.0041134
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1941.8623       927.00000       2.0947813       84.000000         40.000000        1.0045085
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1935.2527       927.00000       2.0876512       84.000000         41.000000        1.0044388
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1929.9888       927.00000       2.0819728       84.000000         42.000000        1.0043688
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1926.2476       927.00000       2.0779370       84.000000         43.000000        1.0043000
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1924.0557       927.00000       2.0755725       84.000000         44.000000        1.0042291
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1923.4222       927.00000       2.0748891       84.000000         45.000000        1.0041585
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1952.7776       927.00000       2.1065562       85.000000         40.000000        1.0045461
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1946.2245       927.00000       2.0994871       85.000000         41.000000        1.0044749
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1940.9272       927.00000       2.0937726       85.000000         42.000000        1.0044063
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1937.0930       927.00000       2.0896365       85.000000         43.000000        1.0043394
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1934.7676       927.00000       2.0871280       85.000000         44.000000        1.0042697
lte017-4.5-0.0a+0.0.BT-Settl.spec.7   1700    4.5    0           1934.0571       927.00000       2.0863614       85.000000         45.000000        1.0042012
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1164.4873       927.00000       1.2561891       80.000000         40.000000       0.98804143
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1157.5221       927.00000       1.2486754       80.000000         41.000000       0.98793269
lte017-5.0-0.0a+0.0.BT-Settl.spec.7   1700    5    0           1153.1445       927.00000       1.2439530       80.000000         42.000000       0.98781716
